siren;nom;tel;fax;adresse;mail;titre_direction;nom_direction;adjoint;mail_adjoint;secretaire_general;responsable_communication;mail_responsable_communication;longitude;latitude;codes_region
173301201;Direction interrégionale des services pénitentiaires Sud-Ouest - Bordeaux;05 57 81 45 00;05 56 96 27 75;188 rue de Pessac - CS 21509 - 33062 Bordeaux Cedex;;Directrice interrégionale;Nadine PICQUET;Guillaume GOUJOT;;Julien PASCAL;;;-0.584022;44.8284;75
172101206;Direction interrégionale des services pénitentiaires Grand-Centre - Dijon;03 80 72 50 00;03 80 67 20 55;72 A rue d'Auxonne - BP 13331 - 21033 Dijon Cedex;diffusion.disp-dijon@justice.fr;Directeur interrégional;Pascal VION, directeur des services pénitentiaires;André VARIGNON, directeur des services pénitentiaires;;Benjamin GAUTHIER, attaché principal d'administration de l'Etat;;;5.04399;47.3272;27,24
176701209;Direction interrégionale des services pénitentiaires Grand-Est - Strasbourg;03 88 56 81 00;03 88 28 30 65;19 rue Eugène-Delacroix - BP 16 - 67035 Strasbourg Cedex 2;;Directeur interrégional;Hubert MOREAU, directeur interrégional des services pénitentiaires;Jean-Michel CAMU;;Audrey REVIL;;;7.74375;48.5829;44
175901206;Direction interrégionale des services pénitentiaires Grand-Nord - Lille;03 20 63 66 66;03 20 54 40 64;123 rue Nationale - BP 765 - 59034 Lille Cedex;;Directrice interrégionale;Valérie DECROIX;Pierre GADOIN;;Aurélie LECLERCQ;;;3.06302;50.6372;32
176901205;Direction interrégionale des services pénitentiaires Auvergne-Rhône-Alpes;04 87 24 95 00;04 87 24 95 01;19 rue Crépet - CS 70607 - 69366 Lyon Cedex 07;;Directeur interrégional;Paul LOUCHOUARN;Rachel COLLIN;;Christophe TOURTOIS;;;4.835141;45.739209;84
171301203;Direction interrégionale des services pénitentiaires Sud-Est - Marseille;04 91 40 86 40;04 91 40 08 87;4 traverse de Rabat - BP 121 - 13277 Marseille Cedex 09;;Directeur interrégional;Thierry ALVES, administrateur général de l'État;Guillaume PINEY, directeur des services pénitentiaires;guillaume.piney@justice.fr;Christine CHARBONNIER;Séverine CHARDIN;severine.chardin@justice.fr;5.4014;43.2482;93,94
179401203;Direction interrégionale des services pénitentiaires Île-de-France - Paris;01 88 28 70 00;;3 avenue de la Division-Leclerc - BP 103 - 94267 Fresnes Cedex;sve.disp-paris@justice.fr;Directeur interrégional;Stéphane SCOTTO, directeur des services pénitentiaires;Renaud SEVEYRAS;;Fanny VILLENEUVE;;;2.32242;48.7556;11
173501206;Direction interrégionale des services pénitentiaires Grand-Ouest - Rennes;02 56 01 66 44;;18 bis rue de Châtillon - CS 23131 - 35031 Rennes Cedex;;Directrice interrégionale;Marie-Line HANICOT;Martine HAMELOT-MARIÉ;;Juliette LEPERS;;;-1.68026;48.1118;53,28,52
173101205;Direction interrégionale des services pénitentiaires Sud - Toulouse;05 62 30 58 09;05 61 22 50 41;Cité administrative Bât G - 2 boulevard Armand-Duportal - CS 81501 - 31015 Toulouse Cedex 6;sve.disp-toulouse@justice.fr;Directeur interrégional;Stéphane GÉLY;Arnaud MOUMANEIX;;Isabelle GOMEZ;;;1.44295;43.6044;76
179100029;Direction interrégionale des services pénitentiaires Outre-mer;01 45 15 19 40;01 45 15 19 68;48 rue Denis-Papin - 94200 Ivry-sur-Seine;;Directrice interrégionale, cheffe de la mission;Muriel GUÉGAN, directrice interrégionale des services pénitentiaires;Antoine CUENOT, directeur des services pénitentiaires hors classe;antoine.cuenot@justice.gouv.fr;Amin MBARKI, administrateur de l'État;;;2.3935;48.8132;01,02,03,04,06,987,975,978,977,986,988
